Year      Tree-ring Index (mean = 1)
  1520    0.814
  1521    0.955
  1522    0.918
  1523    0.910
  1524    0.973
  1525    0.932
  1526    0.866
  1527    0.998
  1528    0.964
  1529    0.912
  1530    1.004
  1531    0.967
  1532    0.954
  1533    0.966
  1534    0.906
  1535    0.935
  1536    0.838
  1537    0.837
  1538    0.965
  1539    1.091
  1540    0.956
  1541    0.994
  1542    0.972
  1543    0.983
  1544    0.884
  1545    1.004
  1546    1.053
  1547    1.098
  1548    1.072
  1549    1.067
  1550    1.020
  1551    0.999
  1552    0.933
  1553    0.960
  1554    0.899
  1555    0.891
  1556    0.811
  1557    0.906
  1558    0.860
  1559    0.785
  1560    0.782
  1561    0.890
  1562    0.899
  1563    0.887
  1564    0.919
  1565    0.836
  1566    1.026
  1567    1.137
  1568    1.224
  1569    1.261
  1570    1.203
  1571    1.132
  1572    1.286
  1573    1.201
  1574    1.019
  1575    1.050
  1576    1.086
  1577    1.049
  1578    1.004
  1579    1.019
  1580    0.956
  1581    0.954
  1582    0.933
  1583    0.842
  1584    0.794
  1585    0.951
  1586    1.016
  1587    1.055
  1588    1.041
  1589    1.114
  1590    1.013
  1591    1.033
  1592    1.005
  1593    0.955
  1594    0.979
  1595    0.985
  1596    0.882
  1597    0.878
  1598    0.965
  1599    1.008
  1600    1.059
  1601    1.017
  1602    1.122
  1603    1.191
  1604    1.159
  1605    1.150
  1606    1.166
  1607    1.100
  1608    1.098
  1609    0.999
  1610    0.978
  1611    1.084
  1612    1.102
  1613    1.131
  1614    1.054
  1615    0.957
  1616    0.976
  1617    0.953
  1618    1.061
  1619    0.919
  1620    0.923
  1621    0.909
  1622    0.957
  1623    0.965
  1624    1.039
  1625    1.075
  1626    1.066
  1627    1.070
  1628    1.114
  1629    1.143
  1630    0.995
  1631    0.876
  1632    1.095
  1633    1.041
  1634    0.955
  1635    0.943
  1636    1.009
  1637    1.015
  1638    0.998
  1639    0.982
  1640    1.028
  1641    0.949
  1642    0.968
  1643    1.096
  1644    1.089
  1645    1.030
  1646    0.993
  1647    1.115
  1648    1.116
  1649    1.060
  1650    0.975
  1651    0.907
  1652    1.063
  1653    1.057
  1654    1.007
  1655    1.019
  1656    0.983
  1657    0.969
  1658    0.991
  1659    0.995
  1660    0.845
  1661    0.948
  1662    0.951
  1663    0.995
  1664    1.071
  1665    1.037
  1666    1.134
  1667    1.119
  1668    1.213
  1669    1.283
  1670    1.245
  1671    1.192
  1672    1.227
  1673    1.159
  1674    1.094
  1675    1.030
  1676    0.881
  1677    0.932
  1678    1.069
  1679    1.067
  1680    1.104
  1681    1.099
  1682    1.128
  1683    1.040
  1684    0.768
  1685    0.860
  1686    0.942
  1687    0.995
  1688    1.080
  1689    1.071
  1690    1.085
  1691    0.953
  1692    0.995
  1693    1.032
  1694    0.971
  1695    0.841
  1696    0.988
  1697    1.089
  1698    1.050
  1699    1.025
  1700    0.938
  1701    0.924
  1702    0.952
  1703    0.941
  1704    0.907
  1705    0.916
  1706    0.956
  1707    1.038
  1708    0.996
  1709    0.963
  1710    0.981
  1711    0.987
  1712    1.014
  1713    1.091
  1714    1.096
  1715    1.117
  1716    1.084
  1717    1.025
  1718    0.990
  1719    0.981
  1720    0.948
  1721    0.944
  1722    0.916
  1723    0.989
  1724    1.067
  1725    1.031
  1726    1.021
  1727    0.968
  1728    0.888
  1729    1.001
  1730    1.024
  1731    1.040
  1732    1.098
  1733    1.077
  1734    0.987
  1735    1.044
  1736    1.100
  1737    1.067
  1738    1.125
  1739    1.197
  1740    1.159
  1741    1.108
  1742    1.072
  1743    1.175
  1744    1.135
  1745    0.884
  1746    1.034
  1747    1.039
  1748    1.033
  1749    0.980
  1750    0.992
  1751    1.086
  1752    1.090
  1753    1.060
  1754    0.914
  1755    1.043
  1756    1.101
  1757    1.146
  1758    1.085
  1759    1.032
  1760    1.029
  1761    1.010
  1762    0.933
  1763    0.936
  1764    0.824
  1765    0.902
  1766    0.933
  1767    0.955
  1768    0.885
  1769    0.895
  1770    0.952
  1771    0.967
  1772    0.992
  1773    1.026
  1774    1.058
  1775    0.973
  1776    0.978
  1777    1.020
  1778    0.988
  1779    1.000
  1780    0.984
  1781    0.996
  1782    0.900
  1783    0.707
  1784    0.864
  1785    0.830
  1786    0.926
  1787    0.894
  1788    0.943
  1789    0.831
  1790    0.849
  1791    0.839
  1792    0.779
  1793    0.814
  1794    0.849
  1795    0.837
  1796    0.937
  1797    0.992
  1798    0.914
  1799    0.816
  1800    0.983
  1801    0.985
  1802    1.090
  1803    1.039
  1804    0.990
  1805    1.023
  1806    1.000
  1807    0.760
  1808    0.944
  1809    0.964
  1810    1.056
  1811    1.054
  1812    1.082
  1813    1.057
  1814    0.985
  1815    1.043
  1816    0.860
  1817    0.854
  1818    0.891
  1819    0.896
  1820    0.829
  1821    0.932
  1822    0.955
  1823    1.007
  1824    1.020
  1825    1.072
  1826    1.043
  1827    1.060
  1828    1.001
  1829    0.984
  1830    1.026
  1831    1.033
  1832    0.977
  1833    0.753
  1834    0.932
  1835    1.012
  1836    0.998
  1837    1.062
  1838    1.118
  1839    1.129
  1840    1.164
  1841    1.132
  1842    1.127
  1843    1.020
  1844    1.062
  1845    1.036
  1846    1.020
  1847    1.019
  1848    1.007
  1849    1.071
  1850    1.055
  1851    1.082
  1852    1.062
  1853    0.856
  1854    0.959
  1855    1.008
  1856    1.004
  1857    0.947
  1858    0.864
  1859    0.875
  1860    0.952
  1861    0.991
  1862    1.063
  1863    1.118
  1864    1.084
  1865    1.120
  1866    1.211
  1867    1.152
  1868    1.071
  1869    1.050
  1870    1.132
  1871    1.154
  1872    1.078
  1873    1.202
  1874    1.167
  1875    1.248
  1876    1.208
  1877    1.110
  1878    0.811
  1879    1.057
  1880    1.090
  1881    1.088
  1882    1.083
  1883    1.084
  1884    1.008
  1885    1.115
  1886    1.203
  1887    1.160
  1888    1.019
  1889    1.134
  1890    1.143
  1891    1.168
  1892    1.147
  1893    1.158
  1894    1.104
  1895    1.066
  1896    1.049
  1897    0.981
  1898    0.748
  1899    0.927
  1900    0.990
  1901    1.063
  1902    0.980
  1903    1.029
  1904    1.140
  1905    1.029
  1906    0.930
  1907    1.044
  1908    1.120
  1909    1.211
  1910    1.178
  1911    1.148
  1912    0.923
  1913    1.112
  1914    0.968
  1915    1.044
  1916    1.018
  1917    1.115
  1918    1.005
  1919    0.902
  1920    1.022
  1921    1.080
  1922    1.126
  1923    1.253
  1924    1.226
  1925    1.109
  1926    1.000
  1927    1.188
  1928    1.108
  1929    1.040
  1930    0.891
  1931    0.919
  1932    0.970
  1933    0.911
  1934    0.910
  1935    0.905
  1936    0.951
  1937    0.789
  1938    0.891
  1939    0.875
  1940    0.980
  1941    1.006
  1942    0.966
  1943    0.944
  1944    0.987
  1945    0.977
  1946    0.992
  1947    1.088
  1948    1.105
  1949    1.085
  1950    1.084
  1951    1.002
  1952    0.855
  1953    0.934
  1954    0.910
  1955    0.997
  1956    1.137
  1957    1.104
  1958    1.093
  1959    1.098
  1960    1.132
  1961    1.133
  1962    1.170
  1963    1.138
  1964    1.043
  1965    1.065
  1966    0.955
  1967    0.941
  1968    0.936
  1969    0.973
  1970    1.117
  1971    1.150
  1972    1.139
  1973    1.170
  1974    1.176
  1975    1.099
  1976    0.888
  1977    1.012
  1978    1.079
  1979    1.104
  1980    1.121
  1981    1.094
  1982    1.004
  1983    0.781
  1984    0.949
  1985    0.930
  1986    0.891
  1987    0.887
  1988    0.881
  1989    0.977
  1990    1.000
  1991    0.895
  1992    0.817
  1993    0.861
  1994    0.810
  1995    0.735
  1996    0.778
  1997    0.796
  1998    0.873
  1999    0.896
  2000    0.820
  2001    0.862
  2002    0.809
  2003    0.824
  2004    0.782
  2005    0.728
  2006    0.830
  2007    0.806
  2008    0.777
  2009    0.753
  2010    0.782
