# NOAA Paleoclimatology Program - Paleocean Site Data
# gb3313-1-fwc.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Frank Lamy
# Core/Site:      GeoB 3313-1
# Latitude:       41.00.00S	( -41)
# Longitude:      74.27.00W	( -74.45)
# Water Depth(m): 852
#
# Publications:
#   Lamy, F., C. Rühlemann, D. Hebbeln, and G. Wefer. 2002. High- and low-latitude
#     climate control on the position of the southern Peru-Chile Current during the
#     Holocene. Paleoceanography 17(2):1028.
#   Lamy, F., D. Hebbeln, U. Röhl, and G. Wefer. 2001. Holocene rainfall variability
#     in southern Chile: a marine record of latitudinal shifts of the Southern Westerlies.
#     Earth and Planetary Science Letters 185(3-4):369-382.
#------------------
#
# Description & Notes:
#   Southeast Pacific SST Reconstruction.
#   Reconstructed changes of paleotemperature, -salinity, and -productivity within
#   the southern Peru-Chile Current during the last 8,000 years from a high-resolution
#   sediment core recovered at 41°S using alkenones, isotope ratios of planktic foraminifera,
#   biogenic opal, and organic carbon. Fe and chronologic data previously published
#   in Lamy et al, 2001.
#
# Variables:
#             depth         Depth (cm)
#             yrBP C1       radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             calyrBP C2    calendar years B.P. (B.P. = 1950)
#             opal%         Opal percent
#             corg%         Organic Carbon weight percent
#             sst           Sea Surface Temperature (C)
#             Fe cps        Iron, counts per second (measured by scanning XRF)
#             d18O          delta O18 PDB
#             sal           Salinity
#
# CORE: GeoB 3313-1
depth         yrBP C1       calyrBP C2    opal%         corg%         sst           Fe cps        d18O          sal           
 0            -999          -999           4            -999          -999          -999          -999          -999          
 3            -999          -999           4.5           2.41          14.17        -999          -999          -999          
 8            -999          -999          -999           2.41         -999          -999          -999          -999          
 13           -999          -999          -999           2.46          14.58        -999          -999          -999          
 17           -999          -999          -999          -999          -999           5243         -999          -999          
 18           -999          -999          -999           2.43         -999           5223          0.4           33.69        
 19           -999          -999          -999          -999          -999           5489         -999          -999          
 20           -999          -999          -999          -999          -999           5093         -999          -999          
 21           -999          -999          -999          -999          -999           5128         -999          -999          
 22           -999          -999          -999          -999          -999           5220         -999          -999          
 23           -999          -999           4.5           2.34          14.7          5376          0.49          34.08        
 24           -999          -999          -999          -999          -999           5139         -999          -999          
 25           -999          -999          -999          -999          -999           5560         -999          -999          
 26           -999          -999          -999          -999          -999           5414         -999          -999          
 27           -999          -999          -999          -999          -999           5532         -999          -999          
 28           -999          -999          -999           1.98         -999           5340          0.57          34.3         
 29           -999          -999          -999          -999          -999           5258         -999          -999          
 30           -999          -999          -999          -999          -999           5393         -999          -999          
 31           -999          -999          -999          -999          -999           5138         -999          -999          
 32           -999          -999          -999          -999          -999           5208         -999          -999          
 33           -999          -999          -999           2.41          14.53         5233          0.39          33.51        
 34           -999          -999          -999          -999          -999           4996         -999          -999          
 35           -999          -999          -999          -999          -999           5049         -999          -999          
 36           -999          -999          -999          -999          -999           4973         -999          -999          
 37           -999          -999          -999          -999          -999           5060         -999          -999          
 38            195           260          -999           2.37         -999           4978          0.37          33.53        
 39           -999          -999          -999          -999          -999           5069         -999          -999          
 40           -999          -999          -999          -999          -999           4903         -999          -999          
 41           -999          -999          -999          -999          -999           5308         -999          -999          
 42           -999          -999          -999          -999          -999           5097         -999          -999          
 43           -999          -999           4             2.35          14.67         5264          0.39          33.69        
 44           -999          -999          -999          -999          -999           5191         -999          -999          
 45           -999          -999          -999          -999          -999           5135         -999          -999          
 46           -999          -999          -999          -999          -999           5088         -999          -999          
 47           -999          -999          -999          -999          -999           4976         -999          -999          
 48           -999          -999          -999           2.4          -999           5133          0.49          34.06        
 49           -999          -999          -999          -999          -999           5075         -999          -999          
 50           -999          -999          -999          -999          -999           5031         -999          -999          
 51           -999          -999          -999          -999          -999           5102         -999          -999          
 52           -999          -999          -999          -999          -999           5965         -999          -999          
 53           -999          -999          -999           2.23          14.91         5385          0.41          33.72        
 54           -999          -999          -999          -999          -999           5182         -999          -999          
 55           -999          -999          -999          -999          -999           5316         -999          -999          
 56           -999          -999          -999          -999          -999           5347         -999          -999          
 57           -999          -999          -999          -999          -999           5313         -999          -999          
 58           -999          -999          -999           2.18         -999           5343          0.32          33.36        
 59           -999          -999          -999          -999          -999           5083         -999          -999          
 60           -999          -999          -999          -999          -999           5264         -999          -999          
 61           -999          -999          -999          -999          -999           5129         -999          -999          
 62           -999          -999          -999          -999          -999           5506         -999          -999          
 63           -999          -999           4.2           2.07          14.62         5576          0.43          33.74        
 64           -999          -999          -999          -999          -999           5359         -999          -999          
 65           -999          -999          -999          -999          -999           5101         -999          -999          
 66           -999          -999          -999          -999          -999           5157         -999          -999          
 67           -999          -999          -999          -999          -999           5017         -999          -999          
 68           -999          -999          -999           2.14         -999           5299          0.53          34.23        
 69           -999          -999          -999          -999          -999           5118         -999          -999          
 70           -999          -999          -999          -999          -999           5285         -999          -999          
 71           -999          -999          -999          -999          -999           5124         -999          -999          
 73           -999          -999          -999           2.16          14.81        -999           0.48          34.13        
 76           -999          -999          -999          -999          -999           5146         -999          -999          
 77           -999          -999          -999          -999          -999           5082         -999          -999          
 78           -999          -999          -999           1.98         -999           5366          0.18          33.02        
 79           -999          -999          -999          -999          -999           5099         -999          -999          
 80           -999          -999          -999          -999          -999           5847         -999          -999          
 81           -999          -999          -999          -999          -999           5391         -999          -999          
 82           -999          -999          -999          -999          -999           5393         -999          -999          
 83           -999          -999           4.5           2.08          14.89         5430          0.49          34.26        
 84           -999          -999          -999          -999          -999           5449         -999          -999          
 85           -999          -999          -999          -999          -999           5290         -999          -999          
 86           -999          -999          -999          -999          -999           5395         -999          -999          
 87           -999          -999          -999          -999          -999           5588         -999          -999          
 88           -999          -999          -999           2.06         -999           5824          0.49          34.3         
 89           -999          -999          -999          -999          -999           5665         -999          -999          
 90           -999          -999          -999          -999          -999           5384         -999          -999          
 91           -999          -999          -999          -999          -999           5599         -999          -999          
 92           -999          -999          -999          -999          -999           5591         -999          -999          
 93           -999          -999          -999           2.01          15.03         5326          0.49          34.35        
 94           -999          -999          -999          -999          -999           5483         -999          -999          
 95           -999          -999          -999          -999          -999           5738         -999          -999          
 96           -999          -999          -999          -999          -999           4876         -999          -999          
 97           -999          -999          -999          -999          -999           5334         -999          -999          
 98           -999          -999          -999           1.87         -999           6030          0.35          33.76        
 99           -999          -999          -999          -999          -999           5709         -999          -999          
 100          -999          -999          -999          -999          -999           5568         -999          -999          
 101          -999          -999          -999          -999          -999           5870         -999          -999          
 102          -999          -999          -999          -999          -999           6044         -999          -999          
 103          -999          -999           4.3           1.86          14.97         5523          0.07          32.64        
 104          -999          -999          -999          -999          -999           5919         -999          -999          
 105          -999          -999          -999          -999          -999           6105         -999          -999          
 106          -999          -999          -999          -999          -999           5779         -999          -999          
 107          -999          -999          -999          -999          -999           5509         -999          -999          
 108          -999          -999          -999           1.95         -999           5455          0.58          34.74        
 109          -999          -999          -999          -999          -999           5490         -999          -999          
 110          -999          -999          -999          -999          -999           5326         -999          -999          
 111          -999          -999          -999          -999          -999           5273         -999          -999          
 112          -999          -999          -999          -999          -999           5532         -999          -999          
 113          -999          -999          -999           2.04          15.34         5219          0.54          34.72        
 114          -999          -999          -999          -999          -999           5261         -999          -999          
 116          -999          -999          -999          -999          -999           5367         -999          -999          
 117          -999          -999          -999          -999          -999           5510         -999          -999          
 118          -999          -999          -999           2.06         -999           5304          0.5           34.61        
 119          -999          -999          -999          -999          -999           5158         -999          -999          
 120          -999          -999          -999          -999          -999           5221         -999          -999          
 121          -999          -999          -999          -999          -999           5227         -999          -999          
 122          -999          -999          -999          -999          -999           5201         -999          -999          
 123          -999          -999           3.6           2.02          15.33         5257          0.37          34.16        
 124          -999          -999          -999          -999          -999           5147         -999          -999          
 125          -999          -999          -999          -999          -999           5277         -999          -999          
 126          -999          -999          -999          -999          -999           5358         -999          -999          
 127          -999          -999          -999          -999          -999           5367         -999          -999          
 128          -999          -999          -999           1.91         -999           5401          0.28          33.77        
 129          -999          -999          -999          -999          -999           5607         -999          -999          
 130          -999          -999          -999          -999          -999           5368         -999          -999          
 131          -999          -999          -999          -999          -999           5416         -999          -999          
 132          -999          -999          -999          -999          -999           5471         -999          -999          
 133          -999          -999          -999           2.02          15.2          5413          0.45          34.38        
 134          -999          -999          -999          -999          -999           5524         -999          -999          
 135          -999          -999          -999          -999          -999           5497         -999          -999          
 136          -999          -999          -999          -999          -999           5512         -999          -999          
 137          -999          -999          -999          -999          -999           5643         -999          -999          
 138          -999          -999          -999           1.99         -999           5387          0.43          34.21        
 139          -999          -999          -999          -999          -999           5510         -999          -999          
 140          -999          -999          -999          -999          -999           5337         -999          -999          
 141          -999          -999          -999          -999          -999           5395         -999          -999          
 142          -999          -999          -999          -999          -999           5184         -999          -999          
 143          -999          -999           4.1           1.97          15.03         5449          0.48          34.31        
 144          -999          -999          -999          -999          -999           5308         -999          -999          
 145          -999          -999          -999          -999          -999           5240         -999          -999          
 146          -999          -999          -999          -999          -999           5082         -999          -999          
 147          -999          -999          -999          -999          -999           5089         -999          -999          
 148          -999          -999          -999           1.99         -999           5015          0.3           33.71        
 149          -999          -999          -999          -999          -999           5419         -999          -999          
 150          -999          -999          -999          -999          -999           5502         -999          -999          
 151          -999          -999          -999          -999          -999           5496         -999          -999          
 152          -999          -999          -999          -999          -999           5348         -999          -999          
 153          -999          -999          -999           2             15.16         5505          0.12          33.1         
 154          -999          -999          -999          -999          -999           5596         -999          -999          
 155          -999          -999          -999          -999          -999           5516         -999          -999          
 155.5         1180          1180         -999          -999          -999          -999          -999          -999          
 156          -999          -999          -999          -999          -999           5326         -999          -999          
 157          -999          -999          -999          -999          -999           4863         -999          -999          
 158          -999          -999          -999           1.96         -999           5075          0.47          34.45        
 159          -999          -999          -999          -999          -999           5136         -999          -999          
 160          -999          -999          -999          -999          -999           5068         -999          -999          
 161          -999          -999          -999          -999          -999           4979         -999          -999          
 162          -999          -999          -999          -999          -999           5266         -999          -999          
 163          -999          -999           3             1.82          15.17         5326          0.37          34.07        
 164          -999          -999          -999          -999          -999           5205         -999          -999          
 165          -999          -999          -999          -999          -999           5158         -999          -999          
 166          -999          -999          -999          -999          -999           5048         -999          -999          
 167          -999          -999          -999          -999          -999           5144         -999          -999          
 168          -999          -999          -999           1.95          15.14         5066          0.46          34.32        
 169          -999          -999          -999          -999          -999           5144         -999          -999          
 170          -999          -999          -999          -999          -999           5210         -999          -999          
 171          -999          -999          -999          -999          -999           5144         -999          -999          
 172          -999          -999          -999          -999          -999           5182         -999          -999          
 173          -999          -999          -999           1.94          15.14         4943          0.18          33.25        
 174          -999          -999          -999          -999          -999           5016         -999          -999          
 175          -999          -999          -999          -999          -999           5053         -999          -999          
 176          -999          -999          -999          -999          -999           5075         -999          -999          
 177          -999          -999          -999          -999          -999           5107         -999          -999          
 178          -999          -999          -999           1.93         -999           5149          0.51          34.56        
 179          -999          -999          -999          -999          -999           5106         -999          -999          
 180          -999          -999          -999          -999          -999           5095         -999          -999          
 181          -999          -999          -999          -999          -999           5077         -999          -999          
 182          -999          -999          -999          -999          -999           5091         -999          -999          
 183          -999          -999           3.7           1.96          15.35         5256          0.42          34.26        
 184          -999          -999          -999          -999          -999           5252         -999          -999          
 185          -999          -999          -999          -999          -999           5448         -999          -999          
 186          -999          -999          -999          -999          -999           5412         -999          -999          
 187          -999          -999          -999          -999          -999           5379         -999          -999          
 188          -999          -999          -999           1.82         -999           5385          0.42          34.3         
 189          -999          -999          -999          -999          -999           5414         -999          -999          
 190          -999          -999          -999          -999          -999           5341         -999          -999          
 191          -999          -999          -999          -999          -999           5543         -999          -999          
 192          -999          -999          -999          -999          -999           5420         -999          -999          
 193          -999          -999          -999           1.84          15.29         5338          0.39          34.23        
 194          -999          -999          -999          -999          -999           5244         -999          -999          
 195          -999          -999          -999          -999          -999           5350         -999          -999          
 196          -999          -999          -999          -999          -999           5401         -999          -999          
 197          -999          -999          -999          -999          -999           5298         -999          -999          
 198          -999          -999          -999           1.85         -999           5293          0.47          34.68        
 199          -999          -999          -999          -999          -999           5292         -999          -999          
 200          -999          -999          -999          -999          -999           5384         -999          -999          
 201          -999          -999          -999          -999          -999           5353         -999          -999          
 202          -999          -999          -999          -999          -999           5328         -999          -999          
 203          -999          -999           3.4           1.93          15.59         5299          0.41          34.58        
 204          -999          -999          -999          -999          -999           5353         -999          -999          
 205          -999          -999          -999          -999          -999           5758         -999          -999          
 206          -999          -999          -999          -999          -999           5338         -999          -999          
 207          -999          -999          -999          -999          -999           5535         -999          -999          
 208          -999          -999          -999           1.92          15.56         5449          0.24          33.93        
 209          -999          -999          -999          -999          -999           5396         -999          -999          
 210          -999          -999          -999          -999          -999           5402         -999          -999          
 211          -999          -999          -999          -999          -999           5322         -999          -999          
 212          -999          -999          -999          -999          -999           5357         -999          -999          
 213          -999          -999          -999           2.02          15.44         5511          0.32          34.05        
 214          -999          -999          -999          -999          -999           5555         -999          -999          
 216          -999          -999          -999          -999          -999           5938         -999          -999          
 217          -999          -999          -999          -999          -999           5961         -999          -999          
 218          -999          -999          -999           2.17         -999           5779          0.27          33.77        
 219          -999          -999          -999          -999          -999           5932         -999          -999          
 220          -999          -999          -999          -999          -999           6056         -999          -999          
 221          -999          -999          -999          -999          -999           6216         -999          -999          
 222          -999          -999          -999          -999          -999           6081         -999          -999          
 223          -999          -999           3.6           2.15          15.28         6185          0.28          33.72        
 224          -999          -999          -999          -999          -999           5964         -999          -999          
 225          -999          -999          -999          -999          -999           5855         -999          -999          
 226          -999          -999          -999          -999          -999           5957         -999          -999          
 227          -999          -999          -999          -999          -999           5779         -999          -999          
 228          -999          -999          -999           2.07         -999           5703          0.33          33.91        
 229          -999          -999          -999          -999          -999           5659         -999          -999          
 230          -999          -999          -999          -999          -999           5592         -999          -999          
