New Zealand February-March Temperature Reconstruction
-----------------------------------------------------------------------
               World Data Center for Paleoclimatology, Boulder   
-----------------------------------------------------------------------
NOTE: PLEASE CITE ORIGINAL REFERENCES WHEN USING THIS DATA!!!!!


NAME OF DATA SET:  New Zealand February-March Temperature Reconstruction
CONTRIBUTORS: Limin Xiong, Jonathan G. Palmer

IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2000-018

SUGGESTED DATA CITATION: Limin Xiong and Jonathan G. Palmer, 2000, 
New Zealand February-March Temperature Reconstruction.
International Tree-Ring Data Bank.  IGBP PAGES/World Data Center-A for 
Paleoclimatology Data Contribution Series #2000-018.  
NOAA/NGDC Paleoclimatology Program, Boulder CO, USA.

ORIGINAL REFERENCE:
Xiong, L.;  Palmer, J.G. 2000. Reconstruction of New Zealand Temperatures 
Back to AD 1720 Using Libocedrus bidwillii Tree-Rings. 
Climatic Change 45(2): 339-359. 

FUNDING SOURCES:
New Zealand Foundation for Research, Science and Technology (Contract UOA 814)
Lincoln University Doctoral Scholarship
Gordon Williams Postgraduate Fellowship

LAST UPDATE:  3/2000 (Original receipt by WDC-A Paleo)
GEOGRAPHIC REGION: New Zealand
PERIOD OF RECORD: 1720-1987

DESCRIPTION:
The data consists of average February-March temperature and its' upper and 
lower 90% confidence interval. These data are given in degrees centigrade 
which derived from 11 New Zealand cedar (Libocedrus bidwillii Hook. f.) 
ring width chronologies.

DATA:

Year    Lower    Feb-Mar   upper   
        90%      temp.     90%
        interval           interval

1720    16.588    16.953    17.428
1721    16.141    16.545    16.784
1722    16.111    16.359    16.644
1723    15.704    16.059    16.636
1724    15.432    15.974    16.339
1725    15.122    15.519    15.890
1726    15.361    15.655    16.120
1727    15.139    15.523    16.000
1728    15.660    16.271    16.748
1729    16.770    17.231    17.734
1730    15.052    15.407    16.072
1731    16.117    16.630    17.438
1732    14.993    15.552    16.048
1733    15.466    16.010    16.428
1734    15.520    15.803    16.197
1735    15.400    15.697    15.920
1736    15.253    15.765    16.136
1737    16.301    16.605    16.892
1738    15.448    15.714    16.131
1739    14.470    15.062    15.475
1740    15.963    16.311    16.642
1741    16.355    16.713    17.173
1742    14.938    15.369    15.962
1743    15.325    15.693    15.998
1744    15.681    16.304    16.735
1745    14.869    15.486    15.930
1746    15.593    16.188    16.583
1747    15.410    15.730    16.035
1748    15.053    15.223    15.472
1749    14.866    15.287    15.646
1750    16.188    16.492    16.837
1751    14.873    15.150    15.545
1752    16.087    16.488    16.959
1753    15.601    15.988    16.319
1754    15.227    15.722    16.296
1755    15.461    15.945    16.328
1756    15.791    16.131    16.509
1757    15.164    15.629    16.136
1758    15.568    15.915    16.206
1759    15.378    15.819    16.164
1760    14.838    15.103    15.414
1761    14.867    15.524    15.815
1762    14.934    15.366    15.727
1763    16.072    16.308    16.575
1764    15.319    15.612    15.846
1765    15.462    16.012    16.339
1766    15.233    15.434    15.865
1767    15.928    16.485    16.835
1768    15.509    15.996    16.596
1769    15.472    15.972    16.425
1770    16.036    16.400    16.801
1771    15.681    16.244    16.575
1772    14.481    14.917    15.195
1773    15.193    15.678    16.447
1774    15.417    15.640    15.963
1775    14.594    15.060    15.440
1776    15.432    15.742    16.161
1777    15.451    15.772    16.265
1778    15.798    16.163    16.443
1779    16.096    16.432    16.949
1780    15.513    16.017    16.482
1781    15.522    15.920    16.298
1782    15.522    15.873    16.197
1783    15.066    15.460    15.789
1784    15.179    15.840    16.402
1785    15.392    15.847    16.200
1786    14.922    15.305    15.639
1787    15.853    16.240    16.600
1788    15.733    16.220    16.433
1789    15.070    15.320    15.604
1790    16.274    16.766    16.968
1791    15.222    15.617    16.046
1792    15.750    16.004    16.347
1793    15.680    16.031    16.407
1794    15.003    15.531    15.917
1795    15.169    15.569    16.030
1796    16.112    16.428    16.718
1797    15.634    16.116    16.718
1798    15.449    15.813    16.271
1799    15.429    15.772    16.151
1800    15.380    15.895    16.229
1801    15.429    16.029    16.553
1802    15.544    15.909    16.355
1803    15.937    16.339    16.831
1804    14.432    14.773    15.240
1805    15.063    15.814    16.443
1806    15.580    16.019    16.517
1807    15.644    15.959    16.439
1808    15.891    16.180    16.596
1809    15.657    15.999    16.370
1810    15.117    15.624    16.036
1811    15.786    16.098    16.405
1812    15.470    15.798    16.355
1813    15.969    16.383    16.791
1814    16.246    16.475    16.810
1815    15.188    15.554    16.019
1816    15.625    16.090    16.320
1817    16.291    16.664    16.913
1818    15.011    15.258    15.597
1819    15.140    15.665    15.952
1820    16.215    16.625    17.020
1821    15.205    15.590    15.933
1822    15.548    16.044    16.371
1823    16.214    16.593    16.849
1824    14.611    15.173    15.548
1825    15.608    15.926    16.240
1826    16.346    16.772    17.138
1827    15.005    15.342    15.726
1828    14.677    15.130    15.548
1829    15.614    15.950    16.318
1830    16.466    16.891    17.269
1831    14.979    15.389    15.801
1832    15.572    16.041    16.501
1833    15.880    16.198    16.511
1834    14.983    15.238    15.582
1835    16.055    16.379    16.719
1836    15.601    15.841    16.226
1837    15.347    15.569    15.869
1838    15.903    16.199    16.559
1839    14.966    15.589    15.920
1840    16.422    16.654    16.903
1841    15.120    15.439    15.880
1842    15.928    16.389    16.705
1843    15.133    15.553    15.946
1844    15.890    16.192    16.491
1845    14.689    14.956    15.330
1846    14.538    14.966    15.387
1847    16.291    16.683    17.180
1848    14.785    15.190    15.541
1849    15.902    16.266    16.632
1850    15.111    15.414    15.786
1851    15.288    15.603    15.875
1852    15.384    15.827    16.157
1853    15.218    15.656    16.363
1854    16.178    16.554    16.777
1855    16.028    16.324    16.798
1856    15.049    15.343    15.611
1857    15.068    15.403    15.751
1858    15.370    15.632    16.073
1859    15.743    16.130    16.404
1860    15.397    15.760    16.249
1861    14.232    14.816    15.220
1862    15.950    16.265    16.649
1863    14.968    15.435    15.974
1864    15.256    15.529    15.943
1865    16.365    16.693    16.923
1866    14.321    14.783    15.157
1867    16.205    16.714    17.112
1868    15.321    15.549    15.931
1869    15.184    15.413    15.744
1870    15.979    16.226    16.463
1871    15.396    15.677    16.245
1872    15.600    16.024    16.359
1873    15.581    15.957    16.273
1874    14.948    15.309    15.601
1875    15.182    15.643    15.953
1876    15.156    15.505    15.816
1877    15.183    15.448    15.820
1878    15.343    15.708    16.116
1879    15.572    15.811    16.097
1880    15.855    16.106    16.442
1881    15.715    16.023    16.279
1882    15.503    15.845    16.212
1883    16.375    16.777    17.320
1884    15.192    15.591    16.307
1885    15.038    15.324    15.615
1886    15.442    15.896    16.241
1887    15.963    16.474    16.780
1888    15.078    15.433    15.863
1889    15.668    15.942    16.311
1890    15.509    15.982    16.400
1891    15.265    15.618    15.859
1892    15.151    15.590    15.951
1893    15.291    15.648    15.941
1894    16.145    16.380    16.709
1895    16.177    16.549    16.863
1896    14.183    14.460    14.871
1897    15.631    15.924    16.291
1898    14.988    15.557    16.274
1899    15.165    15.694    15.937
1900    15.576    15.879    16.305
1901    15.160    15.671    16.162
1902    15.572    15.958    16.301
1903    15.316    15.574    15.980
1904    15.752    16.251    16.621
1905    16.017    16.320    16.563
1906    15.425    15.742    16.070
1907    15.868    16.227    16.629
1908    14.705    15.041    15.318
1909    15.747    16.096    16.420
1910    16.487    16.756    17.046
1911    15.196    15.449    15.763
1912    15.395    15.781    16.257
1913    15.746    15.929    16.186
1914    15.070    15.447    15.770
1915    15.095    15.464    15.844
1916    17.113    17.427    17.872
1917    15.018    15.410    15.888
1918    16.101    16.483    16.770
1919    14.795    15.187    15.724
1920    15.870    16.159    16.399
1921    14.774    15.088    15.375
1922    15.188    15.392    15.652
1923    15.202    15.670    16.289
1924    16.527    16.845    17.142
1925    15.728    16.083    16.730
1926    14.969    15.278    15.634
1927    15.861    16.172    16.369
1928    16.273    16.565    16.818
1929    15.885    16.162    16.610
1930    15.565    15.963    16.230
1931    14.762    14.972    15.285
1932    15.028    15.344    15.743
1933    15.051    15.608    16.345
1934    15.134    15.546    15.867
1935    16.645    17.321    17.726
1936    14.540    14.937    15.633
1937    14.713    15.238    15.576
1938    16.327    16.781    17.129
1939    15.681    15.936    16.271
1940    14.572    14.948    15.556
1941    14.916    15.297    15.785
1942    14.561    15.000    15.345
1943    15.082    15.502    15.891
1944    15.784    16.071    16.351
1945    15.517    15.906    16.285
1946    15.337    15.899    16.270
1947    15.669    16.349    16.629
1948    15.627    15.927    16.200
1949    14.579    14.971    15.346
1950    14.763    14.957    15.253
1951    15.911    16.341    16.665
1952    15.611    15.976    16.468
1953    15.797    16.085    16.419
1954    15.173    15.774    16.246
1955    15.883    16.472    16.871
1956    15.920    16.168    16.442
1957    15.827    16.155    16.503
1958    16.184    16.557    16.898
1959    16.131    16.453    16.667
1960    15.332    15.746    16.401
1961    15.468    15.766    16.172
1962    16.259    16.588    17.030
1963    15.414    15.802    16.284
1964    15.109    15.486    15.826
1965    15.066    15.470    15.826
1966    16.198    16.541    16.903
1967    15.125    15.449    15.658
1968    16.233    16.552    16.843
1969    15.857    16.184    16.435
1970    15.716    16.024    16.397
1971    16.107    16.349    16.641
1972    15.748    16.133    16.608
1973    15.503    16.043    16.491
1974    15.871    16.329    16.628
1975    16.368    16.621    16.878
1976    14.806    15.153    15.634
1977    15.851    16.066    16.368
1978    16.012    16.343    16.704
1979    15.447    15.701    16.045
1980    14.754    15.240    15.707
1981    16.100    16.609    17.320
1982    15.636    15.936    16.209
1983    15.441    15.881    16.115
1984    15.788    16.470    16.796
1985    15.829    16.283    16.792
1986    15.555    15.866    16.291
1987    14.502    14.796    15.119
