	Linear	regression	Scaling						
Year	F3	F5	F3	F5					
1000	18.653	18.643	18.571	18.589		-0.0887099666	-0.1028795713	-0.0876439917	-0.1033107822
1001	18.671	18.661	18.593	18.611		-0.0496128556	-0.0642819704	-0.0510087664	-0.0636932488
1002	18.672	18.665	18.596	18.616		-0.0474407939	-0.0557047258	-0.0460130539	-0.0546892639
1003	18.665	18.657	18.586	18.606		-0.0626452259	-0.0728592151	-0.062665429	-0.0726972336
1004	18.646	18.637	18.561	18.582		-0.1039143987	-0.1157454382	-0.1042963669	-0.115916361
1005	18.614	18.611	18.52	18.551		-0.1734203738	-0.1714975284	-0.172571105	-0.1717410672
1006	18.585	18.589	18.481	18.525		-0.2364101638	-0.2186723739	-0.237515368	-0.2185617885
1007	18.577	18.581	18.471	18.515		-0.2537866575	-0.2358268631	-0.2541677432	-0.2365697582
1008	18.591	18.589	18.49	18.525		-0.2233777934	-0.2186723739	-0.2225282304	-0.2185617885
1009	18.612	18.604	18.516	18.543		-0.1777644972	-0.1865077065	-0.179232055	-0.186147443
1010	18.625	18.617	18.533	18.558		-0.1495276949	-0.1586316614	-0.1509230173	-0.1591354884
1011	18.629	18.623	18.539	18.565		-0.140839448	-0.1457657945	-0.1409315922	-0.1465299095
1012	18.628	18.621	18.538	18.563		-0.1430115097	-0.1500544168	-0.1425968297	-0.1501315035
1013	18.619	18.611	18.526	18.551		-0.1625600652	-0.1714975284	-0.1625796799	-0.1717410672
1014	18.601	18.594	18.502	18.531		-0.2016571762	-0.2079508181	-0.2025453802	-0.2077570066
1015	18.578	18.574	18.473	18.507		-0.2516145958	-0.2508370412	-0.2508372682	-0.250976134
1016	18.558	18.553	18.446	18.482		-0.2950558303	-0.2958675756	-0.295798681	-0.2959960583
1017	18.539	18.532	18.421	18.457		-0.336325003	-0.3408981099	-0.3374296189	-0.3410159827
1018	18.517	18.504	18.393	18.424		-0.3841103609	-0.4009388223	-0.3840562693	-0.4004422828
1019	18.479	18.463	18.343	18.375		-0.4666487063	-0.4888555798	-0.4673181451	-0.4886813345
1020	18.418	18.411	18.264	18.312		-0.5991444714	-0.60035976	-0.5988719087	-0.6021315438
1021	18.358	18.372	18.186	18.267		-0.7294681748	-0.6839878952	-0.7287604348	-0.6831674076
1022	18.353	18.375	18.179	18.27		-0.7403284834	-0.6775549617	-0.7404170974	-0.6777650167
1023	18.424	18.428	18.272	18.333		-0.5861121011	-0.5639064703	-0.5855500086	-0.5643148073
1024	18.521	18.492	18.398	18.409		-0.375422114	-0.4266705562	-0.3757300817	-0.4274542374
1025	18.565	18.528	18.455	18.452		-0.2798513982	-0.3494753545	-0.2808115434	-0.3500199675
1026	18.53	18.509	18.41	18.43		-0.3558735585	-0.3902172665	-0.3557472316	-0.3896375009
1027	18.462	18.464	18.322	18.376		-0.5035737556	-0.4867112686	-0.5022881329	-0.4868805375
