# 	Southernmost_Latitude: -64.2017
# 	Easternmost_Longitude: -57.685

age_AD	Age (years AD), , , years AD, , , mid-annual range, ,N
d2HiceVSMOW	delta2H ice, , , per mil VSMOW, , , , , N
d2HiceVSMOW11	delta2H ice, , , per mil VSMOW, , , 11y moving average, , N
age_AD	Age (years AD), , , years AD, , , mid-annual range, ,N
melt%	Melt percent, , , %, , , , , N
melt%11	Melt percent, , , %, , , 11yr moving average, , N
melt-thick	Melt thickness, , , cm, , , , , N
melt-thick11	Melt thickness, , , cm, , , 11yr moving average, , N

age_AD	d2HiceVSMOW	d2HiceVSMOW11	age_AD	melt%	melt%11	melt-thick	melt-thick11
2007.5	-159.87	-148.25					
2006.5	-135.49	-146.50	2006	7.86	4.28	3.92	2.92
2005.5	-147.52	-145.99	2005	7.57	3.83	4.93	2.61
2004.5	-144.86	-145.04	2004	1.29	3.79	0.69	2.63
2003.5	-148.70	-144.78	2003	6.71	5.43	6.18	3.19
2002.5	-153.08	-144.80	2002	1.31	5.70	0.83	3.44
2001.5	-135.98	-143.36	2001	0.92	5.45	0.99	3.33
2000.5	-142.43	-143.79	2000	1.17	5.37	0.73	3.44
1999.5	-137.44	-142.86	1999	3.48	4.79	2.78	3.07
1998.5	-142.45	-142.64	1998	18.59	5.02	7.62	3.23
1997.5	-144.96	-141.99	1997	8.14	5.13	5.72	3.03
1996.5	-144.04	-141.05	1996	2.87	5.07	2.23	2.99
1995.5	-140.25	-142.86	1995	6.99	5.18	5.18	3.07
1994.5	-137.34	-141.43	1994	1.23	5.39	0.81	3.20
1993.5	-142.37	-142.90	1993	3.76	5.81	2.47	3.33
1992.5	-141.54	-143.35	1992	8.01	4.49	3.96	2.89
1991.5	-142.81	-144.98	1991	0.63	3.81	0.41	2.44
1990.5	-155.86	-144.43	1990	2.10	3.78	1.90	2.40
1989.5	-126.69	-145.15	1989	3.49	3.87	2.18	2.38
1988.5	-153.59	-145.55	1988	8.07	3.84	4.19	2.37
1987.5	-147.43	-146.36	1987	4.13	4.13	2.78	2.62
1986.5	-162.88	-146.48	1986	0.60	4.09	0.69	2.73
1985.5	-138.00	-148.23	1985	2.58	4.09	1.79	2.73
1984.5	-148.18	-147.66	1984	7.98	4.62	4.97	2.96
1983.5	-141.73	-149.36	1983	0.94	4.76	0.74	2.98
1982.5	-151.24	-149.15	1982	6.89	4.06	5.19	2.62
